datetime,wind speed2019,wind speed2018,wind speed2017,wind speed2016,wind speed2015,wind speed2014,wind speed2013,wind speed2012,wind speed2011,wind speed2010,wind speed2009,wind speed2008,wind speed2007,wind speed2006,wind speed2005,wind speed2004;;;;;;;
02/01/2019 11:00,9.48,12.164,10.734,18.5,21.83,14.23,11.0,9.445,11.54;5.234;4.59;11.734;13.02;6.5;19.6;10.28
02/01/2019 12:00,10.45,10.28,12.55,18.77,20.78,12.58,11.195,10.08,11.76;4.844;3.652;11.19;10.734;5.434;21.5;9.59
02/01/2019 13:00,10.266,9.95,12.305,18.72,20.78,12.34,10.88,10.93,11.734;4.555;3.334;11.1;10.3;5.152;20.95;9.28
02/01/2019 14:00,10.62,8.91,11.75,18.45,20.56,11.77,10.73,12.06,11.81;4.375;2.223;11.375;9.305;4.57;20.19;8.39
02/01/2019 15:00,10.375,8.74,11.766,18.4,20.62,11.82,11.43,12.516,11.9;5.01;2.143;11.55;8.95;4.438;20.16;8.4
02/01/2019 16:00,10.75,7.938,11.86,18.22,21.72,12.555,11.6,13.09,11.77;6.387;2.541;12.266;9.15;3.81;19.83;8.33
02/01/2019 17:00,11.164,7.85,11.984,18.25,21.53,12.71,11.81,13.55,11.33;6.906;2.65;12.49;9.54;3.465;19.97;8.26
02/01/2019 18:00,12.27,7.75,12.58,18.39,19.88,12.96,11.875,13.72,10.79;7.297;2.184;13.375;10.86;2.193;20.78;7.72
02/01/2019 19:00,12.39,7.992,12.6,18.38,19.67,12.66,11.9,13.59,10.64;7.438;2.004;13.48;11.43;1.998;20.98;7.6
02/01/2019 20:00,12.82,8.96,12.42,18.19,20.06,11.516,12.5,13.67,10.22;8.055;1.807;13.67;13.14;2.38;21.0;7.73
02/01/2019 21:00,13.14,9.086,12.46,18.08,20.3,11.58,13.01,14.24,9.984;8.82;1.975;13.734;13.555;2.785;20.56;7.742
02/01/2019 22:00,15.81,9.836,12.05,17.75,20.81,12.05,15.06,14.484,9.77;11.62;3.66;13.7;14.67;4.36;20.55;7.008
02/01/2019 23:00,16.45,10.25,12.16,17.7,20.75,12.0,15.73,14.28,9.4;11.766;4.32;13.84;14.77;4.555;20.53;6.92
03/01/2019 00:00,17.5,11.34,12.4,17.83,20.47,11.805,15.97,15.08,8.914;12.07;6.57;14.45;14.19;5.234;19.17;6.254
03/01/2019 01:00,16.88,11.27,12.31,17.86,19.86,11.81,16.17,15.02,8.82;12.56;6.75;14.62;14.32;5.266;19.16;5.867
03/01/2019 02:00,15.14,10.81,12.445,17.86,18.03,12.086,16.23,14.64,8.42;13.305;7.367;15.03;14.055;4.98;18.81;5.305
03/01/2019 03:00,15.484,10.84,12.72,17.83,18.0,12.42,16.06,14.85,8.195;13.0;7.785;15.1;13.836;4.633;18.61;5.332
03/01/2019 04:00,17.77,10.93,13.47,17.94,19.28,14.125,15.56,15.26,7.715;11.85;9.59;15.0;12.92;3.115;18.88;5.28
03/01/2019 05:00,17.38,10.91,13.28,17.98,19.06,14.516,15.4,15.6,7.332;10.984;9.93;14.84;12.92;2.766;18.78;5.254
03/01/2019 06:00,17.58,11.48,14.88,18.42,18.25,15.875,15.336,16.67,6.887;9.875;10.96;14.45;12.81;1.344;18.22;4.996
03/01/2019 07:00,17.72,11.516,15.19,18.47,18.38,16.03,15.27,17.31,6.66;9.72;11.16;14.516;12.484;1.255;17.94;5.156
03/01/2019 08:00,17.3,11.38,16.75,18.78,19.33,16.69,15.22,18.45,5.938;9.31;11.33;14.945;11.945;2.121;16.72;6.23
03/01/2019 09:00,17.16,11.06,16.5,18.75,19.25,16.6,15.4,21.55,5.633;8.805;11.62;15.086;12.17;2.51;16.17;6.508
03/01/2019 10:00,17.72,9.945,17.52,18.02,19.38,17.5,15.375,24.89,5.797;6.836;12.66;15.984;12.234;3.969;14.74;7.504
03/01/2019 11:00,17.36,9.84,17.73,18.1,19.22,17.4,15.41,23.56,5.855;6.266;12.54;16.02;12.89;4.4;14.375;7.496
03/01/2019 12:00,13.664,8.65,17.19,18.14,17.72,16.64,15.18,25.72,5.61;5.5;13.82;16.48;14.53;5.52;13.336;7.21
03/01/2019 13:00,14.12,8.46,17.6,18.06,17.19,16.62,15.266,25.94,5.336;4.9;14.34;16.52;14.89;5.633;13.53;7.164
03/01/2019 14:00,16.6,8.24,18.84,17.69,13.664,16.84,15.08,26.16,4.992;3.725;15.3;16.47;16.64;6.195;14.3;7.46
03/01/2019 15:00,16.97,8.1,19.03,17.7,13.37,16.83,14.586,24.9,5.055;2.898;15.34;16.52;17.03;6.31;14.36;7.918
03/01/2019 16:00,19.02,7.44,19.69,17.86,12.26,16.2,13.02,20.61,5.547;1.484;15.22;16.81;16.67;6.793;15.44;9.11
03/01/2019 17:00,19.23,7.516,19.78,17.83,12.49,15.89,11.95,20.94,5.945;1.143;14.99;16.98;16.44;6.734;15.87;9.21
03/01/2019 18:00,19.34,7.33,19.98,17.66,13.77,15.53,10.53,23.3,6.53;1.592;15.32;17.45;16.48;6.516;16.3;9.47
03/01/2019 19:00,19.6,7.367,20.12,17.64,14.03,15.72,9.89,24.58,6.89;2.273;15.734;17.48;16.78;6.57;16.33;9.41
03/01/2019 20:00,20.44,7.17,20.77,17.47,15.48,16.66,9.13,23.9,7.258;3.623;15.4;17.19;17.88;6.36;16.62;9.32
03/01/2019 21:00,20.16,7.023,20.9,17.45,15.766,17.12,9.375,22.98,7.375;4.477;15.14;16.94;18.19;6.152;16.67;9.375
03/01/2019 22:00,18.95,7.625,20.64,16.61,16.89,18.62,9.92,24.1,6.84;7.176;14.2;16.72;19.4;5.383;17.81;10.6
03/01/2019 23:00,18.39,7.832,21.06,16.56,16.94,18.53,9.86,23.55,7.016;7.715;13.984;16.64;19.5;5.066;17.75;10.78
04/01/2019 00:00,15.695,9.05,21.36,16.95,15.984,18.52,10.44,22.5,7.656;8.125;13.38;16.58;20.06;3.826;17.45;11.24
04/01/2019 01:00,15.305,9.23,21.22,17.02,15.71,18.6,10.49,22.81,8.234;8.02;13.44;16.66;20.0;3.555;17.58;11.41
04/01/2019 02:00,13.2,10.32,21.73,16.78,14.56,19.56,11.22,21.94,8.875;7.547;13.17;16.67;20.03;2.543;17.61;12.18
04/01/2019 03:00,12.63,10.72,21.66,16.66,14.445,19.9,11.49,20.28,8.95;7.46;12.93;16.77;19.94;2.373;17.7;12.18
04/01/2019 04:00,9.62,12.266,21.64,16.62,13.766,19.36,12.14,18.47,9.46;8.67;11.9;16.97;19.44;1.961;17.81;12.336
04/01/2019 05:00,9.06,12.4,21.94,16.61,13.62,19.03,12.31,17.9,9.984;9.945;11.61;16.9;19.17;1.885;17.72;12.24
04/01/2019 06:00,6.92,12.95,22.17,16.25,13.234,17.1,12.89,17.89,10.875;11.84;10.234;16.58;17.83;2.49;17.83;12.28
04/01/2019 07:00,6.703,13.17,22.16,16.11,13.19,16.72,13.36,18.23,11.44;12.16;9.66;16.6;17.67;2.896;17.92;12.23
04/01/2019 08:00,5.79,14.14,22.47,15.766,13.14,15.0,14.38,18.42,12.34;11.44;7.42;16.8;16.39;4.598;18.16;10.914
04/01/2019 09:00,5.652,14.03,22.55,15.78,13.37,14.8,14.97,18.83,12.86;9.875;6.867;16.78;16.61;5.215;18.25;10.03
04/01/2019 10:00,4.867,14.18,22.08,15.03,13.07,14.35,14.82,20.45,13.11;6.668;6.684;16.77;17.61;7.52;18.39;7.25
04/01/2019 11:00,4.94,14.02,20.66,14.76,13.31,13.88,14.72,19.98,13.83;5.79;6.86;16.56;17.42;7.516;18.83;6.92
04/01/2019 12:00,5.28,12.88,14.305,13.836,13.69,12.484,14.73,18.69,14.555;4.586;7.688;15.47;17.69;7.074;20.1;7.094
04/01/2019 13:00,5.688,12.734,14.2,13.766,13.64,12.49,14.8,18.42,14.73;4.223;7.93;15.25;17.84;7.15;20.17;8.26
04/01/2019 14:00,6.633,13.31,14.625,13.195,13.16,12.77,15.03,18.34,14.31;3.744;8.625;14.94;18.02;7.68;20.38;14.19
04/01/2019 15:00,6.4,13.33,15.14,13.11,12.98,13.19,15.24,17.98,14.766;3.738;8.65;15.03;18.19;7.85;20.25;14.53
04/01/2019 16:00,6.234,13.43,15.0,13.08,12.56,15.37,15.91,17.9,15.49;4.258;9.03;15.55;17.72;8.69;19.83;14.53
04/01/2019 17:00,6.367,13.41,15.305,13.18,12.28,15.305,15.836,18.77,15.54;4.43;9.05;15.7;17.73;8.95;19.36;14.61
04/01/2019 18:00,8.125,13.39,15.9,13.22,11.3,14.59,15.17,20.6,15.5;4.875;9.58;16.12;17.62;9.86;16.72;14.336
04/01/2019 19:00,8.07,13.45,15.484,13.17,11.17,14.41,15.086,21.62,15.56;5.18;9.85;16.19;17.9;9.93;16.1;13.734
04/01/2019 20:00,7.86,14.23,13.22,13.22,11.27,13.31,15.055,21.94,15.34;6.08;11.25;16.84;18.28;10.02;13.51;10.92
04/01/2019 21:00,8.02,14.375,12.81,13.3,11.59,13.34,14.734,21.31,15.37;6.598;11.66;16.83;18.58;9.99;13.06;10.42
04/01/2019 22:00,7.617,16.6,10.95,13.67,12.71,14.125,14.03,25.31,14.516;6.805;11.78;16.55;18.17;9.8;12.22;7.203
04/01/2019 23:00,8.55,16.53,11.15,13.75,13.19,13.64,13.44,24.75,15.19;7.547;11.95;16.45;17.77;9.62;12.11;6.78
05/01/2019 00:00,14.44,16.39,11.78,14.266,13.625,12.22,12.49,22.7,14.19;8.44;12.01;15.76;17.44;8.85;12.19;4.88
05/01/2019 01:00,14.75,16.56,11.7,14.4,13.28,12.04,12.35,22.97,13.86;8.53;11.82;15.52;17.45;8.875;12.2;4.523
05/01/2019 02:00,15.59,17.31,11.67,14.84,11.695,10.64,11.92,25.81,13.55;8.73;11.24;15.62;16.28;9.8;12.56;3.684
05/01/2019 03:00,14.59,17.4,11.37,14.81,11.47,10.766,11.45,25.88,13.55;9.16;11.29;15.695;15.94;10.2;12.5;3.555
05/01/2019 04:00,9.0,18.2,9.836,14.914,10.78,11.05,10.59,22.16,14.14;9.78;11.7;16.25;15.06;11.53;12.56;3.535
05/01/2019 05:00,8.43,18.3,9.69,14.97,10.69,11.234,10.164,22.2,14.07;9.875;11.836;16.28;14.86;11.78;12.875;3.582
05/01/2019 06:00,6.88,18.31,9.32,15.17,10.33,12.29,9.53,21.16,13.836;9.97;12.336;17.2;13.81;12.44;13.78;4.324
05/01/2019 07:00,6.805,18.11,9.36,15.29,10.16,11.76,9.35,20.45,14.06;9.94;12.375;17.33;13.55;12.484;13.64;4.715
05/01/2019 08:00,6.32,16.84,9.48,15.7,9.445,10.234,9.04,20.81,14.25;10.14;12.36;17.73;12.31;12.75;12.71;6.13
05/01/2019 09:00,5.97,16.69,9.44,15.695,9.48,10.46,8.79,20.36,14.24;10.28;12.33;17.75;12.234;12.81;12.52;6.21
05/01/2019 10:00,2.656,16.45,8.78,15.516,9.42,10.41,8.44,24.3,13.2;10.25;11.92;16.11;11.16;11.945;11.18;6.617
05/01/2019 11:00,2.477,16.28,8.695,15.5,9.625,10.41,8.43,25.08,13.336;10.29;11.734;15.375;11.16;11.87;11.61;6.605
05/01/2019 12:00,3.2,15.69,7.89,15.68,10.01,10.81,8.34,25.45,13.375;10.336;10.75;13.375;11.71;12.0;13.266;6.9
